id,arcdiff,arcland
5681,1668795541,1669727691
5680,1668794248,1669727688
5679,1668793284,1669727686
5678,1668790994,1669727682
5677,1668788583,1669727680
5676,1668787573,1669727677
5675,1668786918,1669727674
5714,1669249450,1669727500
5706,1669199596,1669726204
5724,1669309941,1669721203
5684,1668800100,1669719773
5596,1668094031,1669719695
5743,1669660250,1669696131
5745,1669667607,1669674673
5712,1669214557,1669648436
5711,1669214311,1669648401
5710,1669213966,1669648394
5709,1669212743,1669648370
5708,1669212606,1669648359
5731,1669639637,1669642226
5696,1669037715,1669372362
5707,1669206585,1669372353
5673,1668785481,1669283337
5660,1668681377,1669283141
5595,1668093888,1669283017
5705,1669198364,1669224128
5633,1668502462,1669212549
5632,1668502206,1669212536
5631,1668501619,1669212523
5630,1668500680,1669212511
5629,1668499244,1669212494
5650,1668605154,1669211433
5649,1668604915,1669211427
5648,1668604608,1669211422
5647,1668604266,1669211419
5646,1668604023,1669211417
5645,1668602002,1669211403
5644,1668601796,1669211399
5643,1668601631,1669211355
5704,1669155782,1669159231
5699,1669043949,1669141480
5310,1665055294,1669127537
5664,1668684131,1669127535
5312,1665056623,1669127532
5311,1665055987,1669127530
5663,1668682782,1669127527
5308,1665053634,1669127524
5307,1665051633,1669127522
5306,1665050991,1669127519
5672,1668781344,1669069926
5692,1668972589,1669069839
5691,1668971867,1669069835
5671,1668781081,1669069799
5670,1668780835,1669069796
5669,1668780437,1669069792
5668,1668779354,1669069782
5667,1668777373,1669055325
5697,1669038294,1669054942
5592,1668087428,1669041768
5584,1668005476,1669040342
5580,1667993240,1669039451
5626,1668422662,1669038764
5540,1667743728,1669038419
5536,1667579364,1669037477
5534,1667572776,1669037204
5529,1667426329,1669036001
5695,1669033081,1669035645
5528,1667425822,1669034587
5594,1668090929,1669030939
5579,1667992364,1669030922
5578,1667992041,1669030921
5577,1667991442,1669030920
5576,1667991022,1669030919
5490,1666876538,1669029186
5560,1667930413,1668890448
5487,1666802258,1668865926
5642,1668597744,1668862726
5641,1668597609,1668859965
5640,1668597528,1668859844
5639,1668597476,1668859469
5683,1668799285,1668813658
5656,1668639840,1668809428
5585,1668024101,1668798493
5618,1668175511,1668767156
5666,1668736642,1668737674
5659,1668658740,1668722326
5658,1668651775,1668716481
5637,1668567788,1668716019
5652,1668619757,1668714279
5651,1668619386,1668710913
5654,1668627457,1668708835
5638,1668578421,1668708539
5636,1668564625,1668708160
5655,1668638654,1668640409
5653,1668620222,1668633176
5623,1668281958,1668618899
5617,1668146301,1668618864
5601,1668105172,1668618589
5599,1668102997,1668618350
5593,1668090616,1668618256
5553,1667873631,1668618225
5546,1667850054,1668618077
5635,1668564046,1668614371
5609,1668124090,1668549706
5628,1668463209,1668525229
5557,1667924681,1668525077
5574,1667990159,1668521921
5575,1667990779,1668521920
5379,1666011648,1668443983
5378,1666011501,1668443982
5377,1666011428,1668443981
5622,1668208710,1668440327
5621,1668207666,1668440324
5620,1668206208,1668440322
5619,1668205182,1668440320
5565,1667932642,1668437356
5624,1668362912,1668370271
5625,1668364383,1668370270
5616,1668136693,1668200918
5615,1668135586,1668200916
5614,1668132295,1668200913
5613,1668131275,1668200911
5612,1668130568,1668200909
5611,1668129670,1668200907
5610,1668129072,1668200905
5608,1668117784,1668200890
5590,1668046314,1668199924
5607,1668116042,1668117189
5606,1668115116,1668117186
5586,1668025085,1668117016
5598,1668101356,1668116575
5605,1668114159,1668116560
5604,1668112864,1668116330
5563,1667931447,1668114374
5600,1668104363,1668114232
5573,1667948468,1668113358
5570,1667942197,1668113356
5569,1667942037,1668113265
5572,1667947904,1668113156
5568,1667941993,1668112864
5562,1667930873,1668101902
5561,1667930709,1668101901
5587,1668026380,1668101691
5588,1668030336,1668098658
5581,1667998416,1668097878
5591,1668049817,1668085823
5532,1667563088,1668072222
5559,1667929992,1668050913
5558,1667925159,1668050747
5589,1668041530,1668050587
5571,1667946460,1668017947
5566,1667937617,1668010800
5367,1665749721,1668000733
5366,1665749072,1668000731
5555,1667920186,1667986178
5545,1667841839,1667986173
5543,1667838486,1667986167
5567,1667941825,1667948227
5556,1667924526,1667936764
5564,1667932017,1667933555
5548,1667851780,1667923453
5524,1667419841,1667923101
5497,1666978951,1667923099
